assessment_id,point_id,lat,lon,avg_condition,avg_functionality,avg_time_effectiveness,avg_cost_effectiveness,avg_env_social
80,34270,-7.282075155021502,-96.43073088801864,5.3799588666870015,8.394638591967627,4.009886514459956,2.7277686627575415,7.1850429322211475
54,29621,13.226973097387237,-83.23025568781044,1.0953767310444473,9.932018320187384,4.91077467322636,1.6632098055903566,5.424639928625432
91,76724,-13.427224502213178,-109.0975833206055,8.868395535741278,5.316223932222233,7.758442425179001,6.500297763335274,6.110438665174357
61,29575,58.27097033021463,-85.51285457903296,8.86086438867227,3.9447041303743835,8.577626808150866,7.364873157191381,9.897998597195826
55,11385,42.46051426315682,-56.646684186246056,1.0504961410975389,6.447851983131031,5.766415078064049,4.766802277070019,7.197206802080015
20,55382,46.122132841225294,-162.77017228033543,4.302648983944019,8.89019336392174,7.1128064215863525,9.444533086618423,2.9305577973191808
59,85873,66.36784302748497,-57.49738959227301,1.5562073234207563,9.093235838402997,7.568678302261837,1.2764965089730862,2.7285332288615516
92,38247,103.29696628335282,-75.13831558647156,7.82604009248135,5.22558190317299,5.786106335094022,2.332856260030276,6.2391115122093455
65,43645,6.0350691405473995,-98.89506993554753,8.126935074713638,4.313363275550773,7.353525375100012,7.98278284912036,6.175088693267098
77,30416,50.04961400687008,-124.58816034376758,8.22068006215622,2.1759855320032493,9.258172773472126,5.118261799936942,3.309779885777835
60,67253,75.82484347601189,-100.15158919142266,1.3148543694820025,8.262552751743078,7.467588638480898,5.960749629876656,1.6021653389968227
73,8500,22.646750520177136,-68.20116080461425,4.625128872667462,8.28041540468067,6.263791550481025,1.462210725453601,1.7383054287373334
10,61015,62.3219660623831,-60.819002467644424,7.304111741658773,8.57731534375999,5.3949078306839375,2.1523319945899564,3.5998870408880124
4,86312,20.862707756598464,-80.265608751289,7.346820670562319,4.807795944289368,8.436382088140938,8.932653138670835,7.708581534547814
49,67899,97.64905015542851,-123.90918896303049,4.406966170365502,3.7367931054725245,4.197893583896162,8.938961791574348,9.129038473241943
67,72823,49.961491504320364,-144.706354107787,0.07865007505986177,7.959576199335529,6.018895345691111,6.512710025374842,7.26070834449059
35,74160,40.44839116372208,-92.74757461948931,7.383467815241591,5.780781111159908,7.617509300980775,2.6860522475187585,3.1106937721107486
20,89130,49.82258870011551,-178.79627875269966,8.720013556129908,0.6197225284238106,8.286657525380756,4.870987119422944,7.183372181708986
51,54642,10.606374559141518,-104.79208498010007,8.786284150883768,3.5617183233993432,5.182323029444381,5.826791470754599,5.470502776856469
80,65225,14.445640671677193,-92.26231966171895,0.24760187758941954,7.968524222781311,9.812943385957427,1.76511037592733,8.03250235869476
83,86610,56.88265011385802,-30.802998282327565,8.112044638655183,9.795393614294838,2.684197239218439,5.779065652382275,8.839773637370746
25,68207,65.24831481911265,-128.0679996320023,6.977886240568704,2.5964467395465562,4.43768398182625,7.584052046137055,4.986150044226995
